raw_state,standard_state,raw_district,standard_district,source,mapping_status,notes
Maharashtra,Maharashtra,Sangli,Sangli,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Solapur,Solapur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Kolhapur,Kolhapur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Aurangabad,Aurangabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Parbhani,Parbhani,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Beed,Beed,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Nanded,Nanded,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Osmanabad,Osmanabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Buldhana,Buldhana,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Akola,Akola,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Amarawati,Amarawati,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Yeotmal,Yeotmal,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Wardha,Wardha,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Nagpur,Nagpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Maharashtra,Maharashtra,Bhandara,Bhandara,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
