crop,fold_id,train_start_year,train_end_year,test_year,train_samples,test_samples,model,mae,rmse,r2,mape,smape,best_baseline_model,best_baseline_mae,win_vs_baseline,mae_improvement_pct,mean_residual,std_residual
Chickpea,1,2011,2013,2014,925,304,Linear District Trend,305.38,455.29,0.0737,41.3,50.15,Historical District Mean,280.84,False,0.0,-71.96,449.56
Chickpea,1,2011,2013,2014,925,304,RandomForestRegressor,267.07,388.89,0.3242,42.84,44.46,Historical District Mean,280.84,True,4.9,-72.35,382.1
Chickpea,1,2011,2013,2014,925,304,GradientBoostingRegressor,255.41,377.61,0.3628,38.59,58.49,Historical District Mean,280.84,True,9.05,-51.32,374.11
Chickpea,2,2011,2014,2015,1229,310,Historical District Mean,229.56,342.49,0.4154,36.74,38.09,Historical District Mean,229.56,False,0.0,-79.28,333.19
Chickpea,2,2011,2014,2015,1229,310,Naive Persistence,323.12,447.73,0.0009,36.39,56.11,Historical District Mean,229.56,False,0.0,-119.21,431.57
Chickpea,2,2011,2014,2015,1229,310,Linear District Trend,328.87,493.67,-0.2147,52.74,61.58,Historical District Mean,229.56,False,0.0,10.92,493.55
Chickpea,2,2011,2014,2015,1229,310,RandomForestRegressor,218.42,321.63,0.4844,34.59,41.19,Historical District Mean,229.56,True,4.85,2.45,321.62
Chickpea,2,2011,2014,2015,1229,310,GradientBoostingRegressor,222.3,320.77,0.4872,34.1,54.92,Historical District Mean,229.56,True,3.16,9.28,320.63
Chickpea,3,2011,2015,2016,1539,310,Historical District Mean,271.23,421.57,0.3889,39.14,36.04,Historical District Mean,271.23,False,0.0,139.73,397.74
Chickpea,3,2011,2015,2016,1539,310,Naive Persistence,394.25,531.55,0.0285,46.15,56.49,Historical District Mean,271.23,False,0.0,95.59,522.88
Chickpea,3,2011,2015,2016,1539,310,Linear District Trend,407.35,592.86,-0.2086,57.17,59.35,Historical District Mean,271.23,False,0.0,249.18,537.95
Chickpea,3,2011,2015,2016,1539,310,RandomForestRegressor,329.03,474.67,0.2252,45.29,45.49,Historical District Mean,271.23,False,-21.31,204.67,428.28
Chickpea,3,2011,2015,2016,1539,310,GradientBoostingRegressor,331.7,474.86,0.2246,45.04,56.99,Historical District Mean,271.23,False,-22.29,213.02,424.4
Chickpea,4,2011,2016,2017,1849,307,Historical District Mean,273.87,446.41,0.2996,23.97,32.77,Historical District Mean,273.87,False,0.0,204.95,396.59
Chickpea,4,2011,2016,2017,1849,307,Naive Persistence,311.4,500.06,0.1211,22.23,42.96,Historical District Mean,273.87,False,0.0,3.05,500.05
Chickpea,4,2011,2016,2017,1849,307,Linear District Trend,314.44,502.99,0.1108,28.03,38.01,Historical District Mean,273.87,False,0.0,203.76,459.87
Chickpea,4,2011,2016,2017,1849,307,RandomForestRegressor,239.62,417.05,0.3887,21.76,26.83,Historical District Mean,273.87,True,12.51,43.97,414.72
Chickpea,4,2011,2016,2017,1849,307,GradientBoostingRegressor,220.91,397.7,0.4441,19.99,39.68,Historical District Mean,273.87,True,19.34,51.23,394.39
Pigeonpea,1,2011,2013,2014,926,304,Historical District Mean,272.65,388.3,0.4147,46.56,52.47,Historical District Mean,272.65,False,0.0,-63.66,383.04
Pigeonpea,1,2011,2013,2014,926,304,Naive Persistence,351.83,485.42,0.0852,47.35,66.61,Historical District Mean,272.65,False,0.0,-180.36,450.67
Pigeonpea,1,2011,2013,2014,926,304,Linear District Trend,359.16,565.79,-0.2427,55.91,56.88,Historical District Mean,272.65,False,0.0,-180.62,536.18
Pigeonpea,1,2011,2013,2014,926,304,RandomForestRegressor,282.97,403.61,0.3676,50.0,52.96,Historical District Mean,272.65,False,-3.79,-118.71,385.76
Pigeonpea,1,2011,2013,2014,926,304,GradientBoostingRegressor,284.51,397.01,0.3881,49.87,67.61,Historical District Mean,272.65,False,-4.35,-106.79,382.38
Pigeonpea,2,2011,2014,2015,1230,310,Historical District Mean,247.16,349.36,0.5279,41.42,54.96,Historical District Mean,247.16,False,0.0,-78.24,340.49
Pigeonpea,2,2011,2014,2015,1230,310,Naive Persistence,325.74,431.2,0.2807,38.84,68.28,Historical District Mean,247.16,False,0.0,-146.48,405.56
Pigeonpea,2,2011,2014,2015,1230,310,Linear District Trend,305.04,456.72,0.1931,51.46,58.76,Historical District Mean,247.16,False,0.0,-90.27,447.71
Pigeonpea,2,2011,2014,2015,1230,310,RandomForestRegressor,249.23,344.57,0.5407,46.23,59.29,Historical District Mean,247.16,False,-0.84,-44.02,341.75
Pigeonpea,2,2011,2014,2015,1230,310,GradientBoostingRegressor,246.19,340.04,0.5527,43.31,70.4,Historical District Mean,247.16,True,0.39,-24.56,339.15
Pigeonpea,3,2011,2015,2016,1540,311,Historical District Mean,305.05,449.73,0.3434,31.73,51.98,Historical District Mean,305.05,False,0.0,144.5,425.88
Pigeonpea,3,2011,2015,2016,1540,311,Naive Persistence,386.83,530.13,0.0877,35.38,68.45,Historical District Mean,305.05,False,0.0,91.88,522.11
Pigeonpea,3,2011,2015,2016,1540,311,Linear District Trend,362.96,543.28,0.0418,42.54,65.96,Historical District Mean,305.05,False,0.0,177.8,513.37
Pigeonpea,3,2011,2015,2016,1540,311,RandomForestRegressor,350.38,494.1,0.2075,37.91,61.64,Historical District Mean,305.05,False,-14.86,201.11,451.32
Pigeonpea,3,2011,2015,2016,1540,311,GradientBoostingRegressor,354.23,494.61,0.2059,38.95,72.73,Historical District Mean,305.05,False,-16.12,205.53,449.88
Pigeonpea,4,2011,2016,2017,1851,307,Historical District Mean,304.54,433.24,0.35,29.77,49.86,Linear District Trend,280.79,False,0.0,131.88,412.68
Pigeonpea,4,2011,2016,2017,1851,307,Naive Persistence,326.54,462.84,0.2581,29.05,56.36,Linear District Trend,280.79,False,0.0,-78.94,456.06
Pigeonpea,4,2011,2016,2017,1851,307,Linear District Trend,280.79,438.17,0.3351,31.17,43.72,Linear District Trend,280.79,False,0.0,82.97,430.24
Pigeonpea,4,2011,2016,2017,1851,307,RandomForestRegressor,289.89,404.76,0.4326,32.69,46.81,Linear District Trend,280.79,False,-3.24,-12.65,404.56
Pigeonpea,4,2011,2016,2017,1851,307,GradientBoostingRegressor,287.65,386.63,0.4823,32.85,57.66,Linear District Trend,280.79,False,-2.44,-30.59,385.41
Wheat,1,2011,2013,2014,926,304,Historical District Mean,493.91,703.68,0.6302,30.79,27.98,Historical District Mean,493.91,False,0.0,-294.17,639.25
Wheat,1,2011,2013,2014,926,304,Naive Persistence,795.74,1062.97,0.1562,31.81,51.82,Historical District Mean,493.91,False,0.0,-538.96,916.2
Wheat,1,2011,2013,2014,926,304,Linear District Trend,531.96,747.67,0.5825,32.69,30.18,Historical District Mean,493.91,False,0.0,-255.33,702.72
Wheat,1,2011,2013,2014,926,304,RandomForestRegressor,453.89,658.03,0.6766,29.33,26.77,Historical District Mean,493.91,True,8.1,-271.95,599.2
Wheat,1,2011,2013,2014,926,304,GradientBoostingRegressor,451.88,650.65,0.6839,29.19,49.18,Historical District Mean,493.91,True,8.51,-258.99,596.89
Wheat,2,2011,2014,2015,1230,310,Historical District Mean,282.2,455.14,0.8814,19.82,20.99,Historical District Mean,282.2,False,0.0,-63.69,450.66
Wheat,2,2011,2014,2015,1230,310,Naive Persistence,698.07,990.71,0.4379,22.96,50.3,Historical District Mean,282.2,False,0.0,-158.8,977.9
Wheat,2,2011,2014,2015,1230,310,Linear District Trend,457.91,667.99,0.7445,25.96,28.26,Historical District Mean,282.2,False,0.0,169.69,646.07
Wheat,2,2011,2014,2015,1230,310,RandomForestRegressor,395.6,602.52,0.7921,22.94,26.24,Historical District Mean,282.2,False,-40.18,178.41,575.5
Wheat,2,2011,2014,2015,1230,310,GradientBoostingRegressor,423.68,620.62,0.7794,24.01,51.18,Historical District Mean,282.2,False,-50.13,208.83,584.43
Wheat,3,2011,2015,2016,1540,311,Historical District Mean,368.86,500.96,0.8779,21.74,24.33,Historical District Mean,368.86,False,0.0,258.18,429.31
Wheat,3,2011,2015,2016,1540,311,Naive Persistence,730.89,992.96,0.5205,29.27,50.83,Historical District Mean,368.86,False,0.0,2.04,992.95
Wheat,3,2011,2015,2016,1540,311,Linear District Trend,603.97,820.38,0.6727,35.18,37.92,Historical District Mean,368.86,False,0.0,435.17,695.46
Wheat,3,2011,2015,2016,1540,311,RandomForestRegressor,526.77,693.05,0.7664,28.58,32.43,Historical District Mean,368.86,False,-42.81,423.58,548.54
Wheat,3,2011,2015,2016,1540,311,GradientBoostingRegressor,558.25,742.53,0.7319,29.72,55.64,Historical District Mean,368.86,False,-51.34,444.85,594.53
Wheat,4,2011,2016,2017,1851,307,Historical District Mean,381.63,551.32,0.8561,17.06,27.44,Historical District Mean,381.63,False,0.0,238.79,496.93
Wheat,4,2011,2016,2017,1851,307,Naive Persistence,534.81,883.64,0.6303,15.1,42.09,Historical District Mean,381.63,False,0.0,-248.98,847.83
Wheat,4,2011,2016,2017,1851,307,Linear District Trend,430.26,601.79,0.8285,19.3,28.59,Historical District Mean,381.63,False,0.0,230.4,555.94
Wheat,4,2011,2016,2017,1851,307,RandomForestRegressor,297.55,472.06,0.8945,15.07,24.4,Historical District Mean,381.63,True,22.03,-60.01,468.23
Wheat,4,2011,2016,2017,1851,307,GradientBoostingRegressor,307.11,486.68,0.8878,14.54,42.73,Historical District Mean,381.63,True,19.53,-95.21,477.28
Oilseeds,1,2011,2013,2014,925,303,Historical District Mean,459.45,735.48,0.6587,40.46,65.67,Historical District Mean,459.45,False,0.0,13.18,735.36
Oilseeds,1,2011,2013,2014,925,303,Naive Persistence,484.16,797.39,0.5988,38.2,67.91,Historical District Mean,459.45,False,0.0,-195.66,773.01
Oilseeds,1,2011,2013,2014,925,303,Linear District Trend,547.18,864.51,0.5284,51.27,70.59,Historical District Mean,459.45,False,0.0,-216.03,837.08
Oilseeds,1,2011,2013,2014,925,303,RandomForestRegressor,470.22,748.28,0.6467,49.97,69.02,Historical District Mean,459.45,False,-2.34,-182.07,725.79
Oilseeds,1,2011,2013,2014,925,303,GradientBoostingRegressor,473.12,763.9,0.6318,49.0,69.9,Historical District Mean,459.45,False,-2.98,-192.51,739.25
Oilseeds,2,2011,2014,2015,1228,308,Historical District Mean,489.54,679.75,0.6536,45.77,91.49,Linear District Trend,469.55,False,0.0,-160.23,660.6
Oilseeds,2,2011,2014,2015,1228,308,Naive Persistence,476.69,646.78,0.6864,36.95,85.39,Linear District Trend,469.55,False,0.0,-344.1,547.65
Oilseeds,2,2011,2014,2015,1228,308,Linear District Trend,469.55,740.31,0.5891,49.84,79.94,Linear District Trend,469.55,False,0.0,-303.75,675.13
Oilseeds,2,2011,2014,2015,1228,308,RandomForestRegressor,453.53,660.42,0.673,45.97,93.53,Linear District Trend,469.55,True,3.41,-177.65,636.08
Oilseeds,2,2011,2014,2015,1228,308,GradientBoostingRegressor,431.0,674.51,0.6589,48.31,93.6,Linear District Trend,469.55,True,8.21,-179.39,650.22
Oilseeds,3,2011,2015,2016,1536,311,Historical District Mean,773.91,1015.71,0.3361,16.19,180.91,Linear District Trend,772.24,False,0.0,-679.4,755.03
Oilseeds,3,2011,2015,2016,1536,311,Naive Persistence,850.03,1150.18,0.1487,20.95,181.86,Linear District Trend,772.24,False,0.0,-770.13,854.29
Oilseeds,3,2011,2015,2016,1536,311,Linear District Trend,772.24,1270.46,-0.0387,22.04,177.38,Linear District Trend,772.24,False,0.0,-709.29,1054.03
Oilseeds,3,2011,2015,2016,1536,311,RandomForestRegressor,718.59,1054.13,0.2849,22.17,182.18,Linear District Trend,772.24,True,6.95,-625.35,848.6
Oilseeds,3,2011,2015,2016,1536,311,GradientBoostingRegressor,692.0,1066.0,0.2687,23.76,182.38,Linear District Trend,772.24,True,10.39,-592.65,886.07
Oilseeds,4,2011,2016,2017,1847,307,Historical District Mean,736.88,1297.12,0.4981,25.23,182.32,Linear District Trend,384.38,False,0.0,-474.13,1207.37
Oilseeds,4,2011,2016,2017,1847,307,Naive Persistence,738.21,1165.3,0.595,22.14,182.61,Linear District Trend,384.38,False,0.0,-545.29,1029.84
Oilseeds,4,2011,2016,2017,1847,307,Linear District Trend,384.38,1015.39,0.6925,21.68,172.35,Linear District Trend,384.38,False,0.0,-192.93,996.89
Oilseeds,4,2011,2016,2017,1847,307,RandomForestRegressor,218.59,1044.05,0.6749,43.97,171.73,Linear District Trend,384.38,True,43.13,85.41,1040.55
Oilseeds,4,2011,2016,2017,1847,307,GradientBoostingRegressor,273.56,1009.8,0.6958,58.94,188.48,Linear District Trend,384.38,True,28.83,77.56,1006.82
Sugarcane,1,2011,2013,2014,897,299,Historical District Mean,1209.4,2043.32,0.6615,23.3,35.82,Historical District Mean,1209.4,False,0.0,398.83,2004.02
Sugarcane,1,2011,2013,2014,897,299,Naive Persistence,1659.59,2583.96,0.4587,21.39,50.68,Historical District Mean,1209.4,False,0.0,-673.35,2494.69
Sugarcane,1,2011,2013,2014,897,299,Linear District Trend,1746.18,2872.41,0.3311,34.24,48.82,Historical District Mean,1209.4,False,0.0,-162.69,2867.8
Sugarcane,1,2011,2013,2014,897,299,RandomForestRegressor,1179.02,1963.03,0.6876,23.04,35.41,Historical District Mean,1209.4,True,2.51,101.67,1960.4
Sugarcane,1,2011,2013,2014,897,299,GradientBoostingRegressor,1306.28,2058.88,0.6563,25.41,54.05,Historical District Mean,1209.4,False,-8.01,158.86,2052.75
Sugarcane,2,2011,2014,2015,1196,304,Historical District Mean,1681.41,2732.82,0.4303,23.41,55.83,Historical District Mean,1681.41,False,0.0,-278.54,2718.59
Sugarcane,2,2011,2014,2015,1196,304,Naive Persistence,2207.91,3330.77,0.1537,26.19,68.19,Historical District Mean,1681.41,False,0.0,-1223.87,3097.77
Sugarcane,2,2011,2014,2015,1196,304,Linear District Trend,1911.51,2988.14,0.3188,30.93,58.35,Historical District Mean,1681.41,False,0.0,-819.62,2873.53
Sugarcane,2,2011,2014,2015,1196,304,RandomForestRegressor,1717.36,2791.92,0.4054,27.37,56.11,Historical District Mean,1681.41,False,-2.14,-525.22,2742.07
Sugarcane,2,2011,2014,2015,1196,304,GradientBoostingRegressor,1665.64,2633.07,0.4711,30.74,71.25,Historical District Mean,1681.41,True,0.94,-451.8,2594.02
Sugarcane,3,2011,2015,2016,1500,306,Historical District Mean,1509.97,2195.98,0.5825,30.12,49.9,Historical District Mean,1509.97,False,0.0,14.5,2195.93
