crop,state,district,observations_count,ml_mae,baseline_mae,ml_improvement_pct,ml_win_rate,is_best_ml_district,is_worst_ml_district,is_high_error_district
Minor Pulses,Rajasthan,Jodhpur,4,140.69,216.99,35.16,75.0,True,False,False
Minor Pulses,Rajasthan,Kota,4,160.16,138.62,-15.54,50.0,False,True,False
Minor Pulses,Rajasthan,Nagaur,4,55.99,103.45,45.88,75.0,True,False,False
Minor Pulses,Rajasthan,Pali,4,94.04,77.69,-21.05,50.0,False,True,False
Minor Pulses,Rajasthan,Sikar,4,250.7,241.33,-3.88,50.0,False,False,False
Minor Pulses,Rajasthan,Sirohi,4,249.12,174.16,-43.04,25.0,False,True,False
Minor Pulses,Rajasthan,Swami Madhopur,4,161.89,195.65,17.26,50.0,False,False,False
Minor Pulses,Rajasthan,Tonk,4,90.35,124.2,27.25,100.0,True,False,False
Minor Pulses,Rajasthan,Udaipur,4,88.81,80.54,-10.27,25.0,False,True,False
Minor Pulses,Tamil Nadu,Chengalpattu Mgr / Kanchipuram,4,138.76,120.65,-15.01,25.0,False,True,False
Minor Pulses,Tamil Nadu,Coimbatore,4,148.21,184.14,19.51,50.0,False,False,False
Minor Pulses,Tamil Nadu,Kanyakumari,3,374.97,226.39,-65.63,0.0,False,True,False
Minor Pulses,Tamil Nadu,Madurai,4,186.92,191.17,2.22,50.0,False,False,False
Minor Pulses,Tamil Nadu,North Arcot / Vellore,3,176.0,131.69,-33.65,33.33,False,True,False
Minor Pulses,Tamil Nadu,Ramananthapuram,4,152.41,200.08,23.83,50.0,False,False,False
Minor Pulses,Tamil Nadu,South Arcot / Cuddalore,4,199.32,224.7,11.3,50.0,False,False,False
Minor Pulses,Tamil Nadu,Thanjavur,4,100.54,164.6,38.92,75.0,True,False,False
Minor Pulses,Tamil Nadu,The Nilgiris,3,510.77,549.74,7.09,33.33,False,False,True
Minor Pulses,Tamil Nadu,Thirunelveli,3,259.59,292.85,11.36,66.67,False,False,False
Minor Pulses,Tamil Nadu,Tiruchirapalli / Trichy,3,268.21,245.44,-9.28,66.67,False,False,False
Minor Pulses,Telangana,Adilabad,4,93.11,16.51,-463.96,25.0,False,True,False
Minor Pulses,Telangana,Hyderabad,4,116.74,147.81,21.02,75.0,True,False,False
Minor Pulses,Telangana,Karimnagar,4,125.05,74.41,-68.06,25.0,False,True,False
Minor Pulses,Telangana,Khammam,4,177.76,158.86,-11.9,25.0,False,True,False
Minor Pulses,Telangana,Mahabubnagar,4,146.57,153.02,4.22,50.0,False,False,False
Minor Pulses,Telangana,Medak,4,129.74,100.2,-29.48,50.0,False,True,False
Minor Pulses,Telangana,Nalgonda,4,151.69,154.69,1.94,50.0,False,False,False
Minor Pulses,Telangana,Nizamabad,4,289.52,214.38,-35.05,0.0,False,True,False
Minor Pulses,Telangana,Warangal,4,270.6,247.52,-9.32,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Agra,4,431.69,319.45,-35.14,0.0,False,True,False
Minor Pulses,Uttar Pradesh,Aligarh,4,503.05,579.32,13.17,50.0,False,False,True
Minor Pulses,Uttar Pradesh,Allahabad,4,263.29,337.14,21.9,100.0,True,False,False
Minor Pulses,Uttar Pradesh,Azamgarh,4,453.19,392.6,-15.43,50.0,False,True,False
Minor Pulses,Uttar Pradesh,Bahraich,4,494.38,502.76,1.67,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Ballia,4,411.01,446.54,7.96,75.0,True,False,False
Minor Pulses,Uttar Pradesh,Banda,4,176.54,201.71,12.48,75.0,True,False,False
Minor Pulses,Uttar Pradesh,Barabanki,4,188.27,243.51,22.68,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Bareilly,4,438.35,419.2,-4.57,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Basti,4,428.17,311.67,-37.38,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Bijnor,4,292.53,306.28,4.49,75.0,False,False,False
Minor Pulses,Uttar Pradesh,Budaun,4,325.95,227.47,-43.29,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Buland Shahar,4,307.35,269.07,-14.23,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Deoria,4,336.97,322.61,-4.45,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Etah,4,518.75,483.12,-7.37,25.0,False,True,True
Minor Pulses,Uttar Pradesh,Etawah,4,296.25,300.7,1.48,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Faizabad,4,325.27,213.49,-52.36,0.0,False,True,False
Minor Pulses,Uttar Pradesh,Farrukhabad,4,321.37,340.86,5.72,75.0,True,False,False
Minor Pulses,Uttar Pradesh,Fatehpur,4,284.74,228.51,-24.61,50.0,False,True,False
Minor Pulses,Uttar Pradesh,Ghazipur,4,294.83,347.4,15.13,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Gonda,4,309.9,329.85,6.05,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Gorakhpur,4,277.52,297.64,6.76,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Hamirpur,4,179.86,254.22,29.25,75.0,True,False,False
Minor Pulses,Uttar Pradesh,Hardoi,4,297.12,236.16,-25.81,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Jalaun,4,699.17,562.85,-24.22,25.0,False,True,True
Minor Pulses,Uttar Pradesh,Jaunpur,4,437.14,454.92,3.91,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Jhansi,4,297.09,230.12,-29.1,50.0,False,True,False
Minor Pulses,Uttar Pradesh,Kanpur,4,247.28,273.05,9.44,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Kheri,4,334.64,329.51,-1.56,75.0,False,False,False
Minor Pulses,Uttar Pradesh,Lucknow,4,351.37,295.62,-18.86,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Mainpuri,4,469.38,420.59,-11.6,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Mathura,4,595.71,294.62,-102.2,25.0,False,True,True
Minor Pulses,Uttar Pradesh,Meerut,4,255.1,274.01,6.9,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Mirzpur,4,237.61,264.1,10.03,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Moradabad,4,252.91,266.68,5.16,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Muzaffarnagar,4,256.2,221.66,-15.58,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Pilibhit,4,590.96,472.46,-25.08,50.0,False,True,True
Minor Pulses,Uttar Pradesh,Pratapgarh,4,306.51,279.05,-9.84,75.0,False,False,False
Minor Pulses,Uttar Pradesh,Rae-Bareily,4,215.16,151.46,-42.06,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Rampur,4,317.97,303.01,-4.94,50.0,False,False,False
Minor Pulses,Uttar Pradesh,Saharanpur,4,353.45,320.03,-10.44,50.0,False,True,False
Minor Pulses,Uttar Pradesh,Shahjahanpur,4,371.76,382.87,2.9,75.0,False,False,False
Minor Pulses,Uttar Pradesh,Sitapur,4,287.03,215.92,-32.93,25.0,False,True,False
Minor Pulses,Uttar Pradesh,Sultanpur,4,318.36,227.13,-40.17,0.0,False,True,False
Minor Pulses,Uttar Pradesh,Unnao,4,286.47,219.86,-30.3,0.0,False,True,False
Minor Pulses,Uttar Pradesh,Varanasi,4,192.57,243.03,20.76,75.0,True,False,False
Minor Pulses,Uttarakhand,Almorah,4,293.05,387.29,24.33,50.0,False,False,False
Minor Pulses,Uttarakhand,Chamoli,4,360.81,469.06,23.08,50.0,False,False,False
Minor Pulses,Uttarakhand,Dehradun,4,322.69,451.34,28.5,50.0,False,False,False
Minor Pulses,Uttarakhand,Garhwal,4,252.48,379.91,33.54,75.0,True,False,False
Minor Pulses,Uttarakhand,Nainital,4,310.19,429.99,27.86,50.0,False,False,False
Minor Pulses,Uttarakhand,Pithorgarh,4,370.04,459.31,19.44,50.0,False,False,False
Minor Pulses,Uttarakhand,Tehri Garhwal,4,276.95,406.33,31.84,75.0,True,False,False
