crop,fold_id,test_year,experiment_id,experiment_name,feature_group,n_features,algorithm,test_records,mae,rmse,r2,mape,smape,baseline_mae,historical_mae,improvement_vs_baseline_pct,improvement_vs_historical_pct,win_vs_baseline,win_vs_historical
Maize,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,301,573.9,886.96,0.6796,28.13,38.54,537.63,553.81,-6.75,-3.63,False,False
Maize,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,301,531.16,805.61,0.7357,27.3,34.9,537.63,553.81,1.2,4.09,True,True
Maize,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,301,560.51,859.27,0.6993,27.55,36.28,537.63,553.81,-4.26,-1.21,False,False
Maize,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,301,564.49,877.02,0.6867,27.02,37.89,537.63,553.81,-5.0,-1.93,False,False
Maize,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,306,618.09,1011.97,0.6508,37.39,38.48,554.0,618.09,-11.57,0.0,False,False
Maize,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,306,632.82,1024.66,0.642,36.67,41.63,554.0,618.09,-14.23,-2.38,False,False
Maize,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,306,622.51,1011.54,0.6511,36.07,40.74,554.0,618.09,-12.37,-0.72,False,False
Maize,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,306,626.69,1018.69,0.6462,35.29,40.9,554.0,618.09,-13.12,-1.39,False,False
Maize,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,306,623.2,1007.88,0.6536,34.76,40.69,554.0,618.09,-12.49,-0.83,False,False
Maize,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,305,721.95,1568.22,0.3079,35.61,39.49,713.22,721.95,-1.22,0.0,False,False
Maize,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,305,760.81,1575.12,0.3018,38.91,40.76,713.22,721.95,-6.67,-5.38,False,False
Maize,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,305,727.78,1557.29,0.3175,35.76,40.43,713.22,721.95,-2.04,-0.81,False,False
Maize,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,305,748.93,1564.26,0.3114,38.12,40.63,713.22,721.95,-5.01,-3.74,False,False
Maize,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,305,744.36,1551.09,0.323,38.02,40.45,713.22,721.95,-4.37,-3.1,False,False
Maize,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,299,721.33,1127.11,0.6589,38.02,39.92,748.67,721.33,3.65,0.0,True,False
Maize,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,299,727.39,1108.24,0.6703,37.78,39.94,748.67,721.33,2.84,-0.84,True,False
Maize,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,299,722.87,1099.26,0.6756,37.43,39.67,748.67,721.33,3.45,-0.21,True,False
Maize,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,299,728.09,1106.89,0.6711,37.77,39.75,748.67,721.33,2.75,-0.94,True,False
Maize,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,299,728.76,1102.44,0.6737,37.74,39.93,748.67,721.33,2.66,-1.03,True,False
Wheat,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,304,469.89,676.14,0.6586,30.29,49.99,493.91,469.89,4.86,0.0,True,False
Wheat,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,304,498.64,706.97,0.6268,32.45,51.08,493.91,469.89,-0.96,-6.12,False,False
Wheat,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,304,459.64,664.1,0.6707,29.81,49.51,493.91,469.89,6.94,2.18,True,True
Wheat,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,304,479.79,690.76,0.6437,31.98,50.4,493.91,469.89,2.86,-2.11,True,False
Wheat,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,304,496.78,693.37,0.641,32.18,50.25,493.91,469.89,-0.58,-5.72,False,False
Wheat,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,310,339.92,512.32,0.8497,22.0,48.73,282.2,339.92,-20.45,0.0,False,False
Wheat,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,310,354.6,537.06,0.8348,22.85,49.46,282.2,339.92,-25.66,-4.32,False,False
Wheat,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,310,385.55,570.95,0.8133,23.39,50.52,282.2,339.92,-36.62,-13.42,False,False
Wheat,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,310,380.41,560.1,0.8204,23.68,50.55,282.2,339.92,-34.8,-11.91,False,False
Wheat,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,310,386.01,564.43,0.8176,23.78,50.69,282.2,339.92,-36.78,-13.56,False,False
Wheat,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,311,489.45,658.72,0.789,28.97,53.27,368.86,489.45,-32.69,0.0,False,False
Wheat,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,311,498.73,663.68,0.7858,28.79,53.99,368.86,489.45,-35.21,-1.89,False,False
Wheat,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,311,455.34,619.11,0.8136,28.2,52.51,368.86,489.45,-23.45,6.97,False,True
Wheat,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,311,469.64,633.79,0.8046,27.55,52.91,368.86,489.45,-27.32,4.05,False,True
Wheat,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,311,463.73,620.46,0.8128,27.96,53.03,368.86,489.45,-25.72,5.26,False,True
Wheat,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,307,320.78,484.89,0.8887,15.56,44.66,381.63,320.78,15.95,0.0,True,False
Wheat,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,307,334.45,505.41,0.879,16.13,45.46,381.63,320.78,12.36,-4.26,True,False
Wheat,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,307,313.16,490.96,0.8859,15.44,44.34,381.63,320.78,17.94,2.38,True,True
Wheat,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,307,319.28,505.14,0.8792,15.76,45.0,381.63,320.78,16.34,0.47,True,True
Wheat,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,307,305.76,486.65,0.8879,14.91,44.27,381.63,320.78,19.88,4.68,True,True
Sugarcane,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,293,1287.04,1990.84,0.677,23.81,51.75,1145.07,1287.04,-12.4,0.0,False,False
Sugarcane,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,293,1311.69,1875.08,0.7135,25.47,51.95,1145.07,1287.04,-14.55,-1.91,False,False
Sugarcane,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,293,1361.43,1972.35,0.683,26.23,53.41,1145.07,1287.04,-18.9,-5.78,False,False
Sugarcane,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,293,1489.25,2201.45,0.605,37.5,54.2,1145.07,1287.04,-30.06,-15.71,False,False
Sugarcane,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,293,1347.02,2075.96,0.6488,24.88,55.25,1145.07,1287.04,-17.64,-4.66,False,False
Sugarcane,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,299,1753.1,2897.31,0.3612,26.72,68.93,1692.22,1753.1,-3.6,0.0,False,False
Sugarcane,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,299,1778.11,2873.93,0.3715,29.57,70.29,1692.22,1753.1,-5.08,-1.43,False,False
Sugarcane,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,299,1729.1,2780.97,0.4115,29.61,68.99,1692.22,1753.1,-2.18,1.37,False,True
Sugarcane,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,299,1715.5,2797.88,0.4043,29.48,69.24,1692.22,1753.1,-1.38,2.14,False,True
Sugarcane,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,299,1724.55,2773.26,0.4147,30.08,70.11,1692.22,1753.1,-1.91,1.63,False,True
Sugarcane,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,304,1347.74,1974.79,0.6621,27.42,62.67,1537.89,1347.74,12.36,0.0,True,False
Sugarcane,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,304,1506.89,2106.85,0.6153,34.31,64.47,1537.89,1347.74,2.02,-11.81,True,False
