crop,state,district,min_year,max_year,total_observations
Castor,Bihar,Purnea,2010,2017,8
Castor,Bihar,Saharsa,2010,2017,8
Castor,Bihar,Saran,2010,2017,8
Castor,Bihar,Shahabad (Now Part Of Bhojpur District),2010,2017,8
Castor,Chhattisgarh,Bastar,2010,2017,8
Castor,Chhattisgarh,Bilaspur,2010,2017,8
Castor,Chhattisgarh,Durg,2010,2017,8
Castor,Chhattisgarh,Raigarh,2010,2017,8
Castor,Chhattisgarh,Raipur,2010,2017,8
Castor,Chhattisgarh,Surguja,2010,2017,8
Castor,Gujarat,Ahmedabad,2010,2017,8
Castor,Gujarat,Amreli,2010,2017,8
Castor,Gujarat,Banaskantha,2010,2017,8
Castor,Gujarat,Bharuch,2010,2017,8
Castor,Gujarat,Bhavnagar,2010,2017,8
Castor,Gujarat,Dangs,2010,2017,8
Castor,Gujarat,Jamnagar,2010,2017,8
Castor,Gujarat,Junagadh,2010,2017,8
Castor,Gujarat,Kheda,2010,2017,8
Castor,Gujarat,Kutch,2010,2017,8
Castor,Gujarat,Mehsana,2010,2017,8
Castor,Gujarat,Panchmahal,2010,2017,8
Castor,Gujarat,Rajkot,2010,2017,8
Castor,Gujarat,Sabarkantha,2010,2017,8
Castor,Gujarat,Surat,2010,2017,8
Castor,Gujarat,Surendranagar,2010,2017,8
Castor,Gujarat,Vadodara / Baroda,2010,2017,8
Castor,Gujarat,Valsad,2010,2017,8
Castor,Haryana,Ambala,2010,2017,8
Castor,Haryana,Gurgaon,2010,2017,8
Castor,Haryana,Hissar,2010,2017,8
Castor,Haryana,Jind,2010,2017,8
Castor,Haryana,Karnal,2010,2017,8
Castor,Haryana,Mahendragarh / Narnaul,2010,2017,8
Castor,Haryana,Rohtak,2010,2017,8
Castor,Himachal Pradesh,Bilashpur,2010,2017,8
Castor,Himachal Pradesh,Chamba,2010,2017,8
Castor,Himachal Pradesh,Kangra,2010,2017,8
Castor,Himachal Pradesh,Kinnaur,2010,2017,8
Castor,Himachal Pradesh,Kullu,2010,2017,8
Castor,Himachal Pradesh,Lahul & Spiti,2010,2017,8
Castor,Himachal Pradesh,Mandi,2010,2017,8
Castor,Himachal Pradesh,Shimla,2010,2017,8
Castor,Himachal Pradesh,Sirmaur,2010,2017,8
Castor,Himachal Pradesh,Solan,2010,2017,8
Castor,Jharkhand,Dhanbad,2010,2017,8
Castor,Jharkhand,Hazaribagh,2010,2017,8
Castor,Jharkhand,Palamau,2010,2017,8
Castor,Jharkhand,Ranchi,2010,2017,8
Castor,Jharkhand,Santhal Paragana / Dumka,2010,2017,8
Castor,Jharkhand,Singhbhum,2010,2017,8
Castor,Karnataka,Bangalore,2010,2017,8
Castor,Karnataka,Belgaum,2010,2017,8
Castor,Karnataka,Bellary,2010,2017,8
Castor,Karnataka,Bidar,2010,2017,8
Castor,Karnataka,Bijapur / Vijayapura,2010,2017,8
Castor,Karnataka,Chickmagalur,2010,2017,8
Castor,Karnataka,Chitradurga,2010,2017,8
Castor,Karnataka,Dakshina Kannada,2010,2017,8
Castor,Karnataka,Dharwad,2010,2017,8
Castor,Karnataka,Gulbarga / Kalaburagi,2010,2017,8
Castor,Karnataka,Hassan,2010,2017,8
Castor,Karnataka,Kodagu / Coorg,2010,2017,8
Castor,Karnataka,Kolar,2010,2017,8
Castor,Karnataka,Mandya,2010,2017,8
Castor,Karnataka,Mysore,2010,2017,8
Castor,Karnataka,Raichur,2010,2017,8
Castor,Karnataka,Shimoge,2010,2017,8
Castor,Karnataka,Tumkur,2010,2017,8
Castor,Karnataka,Uttara Kannada,2010,2017,8
Castor,Kerala,Alappuzha,2010,2017,8
Castor,Kerala,Eranakulam,2010,2017,8
Castor,Kerala,Kannur,2010,2017,8
Castor,Kerala,Kollam,2010,2017,8
Castor,Kerala,Kottayam,2010,2017,8
Castor,Kerala,Kozhikode,2010,2017,8
Castor,Kerala,Malappuram,2010,2017,8
Castor,Kerala,Palakkad,2010,2017,8
Castor,Kerala,Thiruvananthapuram,2010,2017,8
Castor,Kerala,Thrissur,2010,2017,8
Castor,Madhya Pradesh,Balaghat,2010,2017,8
Castor,Madhya Pradesh,Betul,2010,2017,8
Castor,Madhya Pradesh,Bhind,2010,2017,8
Castor,Madhya Pradesh,Chhatarpur,2010,2017,8
Castor,Madhya Pradesh,Chhindwara,2010,2017,8
Castor,Madhya Pradesh,Damoh,2010,2017,8
Castor,Madhya Pradesh,Datia,2010,2017,8
Castor,Madhya Pradesh,Dewas,2010,2017,8
Castor,Madhya Pradesh,Dhar,2010,2017,8
Castor,Madhya Pradesh,Guna,2010,2017,8
Castor,Madhya Pradesh,Gwalior,2010,2017,8
Castor,Madhya Pradesh,Hoshangabad,2010,2017,8
Castor,Madhya Pradesh,Indore,2010,2017,8
Castor,Madhya Pradesh,Jabalpur,2010,2017,8
Castor,Madhya Pradesh,Jhabua,2010,2017,8
Castor,Madhya Pradesh,Khandwa / East Nimar,2010,2017,8
Castor,Madhya Pradesh,Khargone / West Nimar,2010,2017,8
Castor,Madhya Pradesh,Mandla,2010,2017,8
Castor,Madhya Pradesh,Mandsaur,2010,2017,8
Castor,Madhya Pradesh,Morena,2010,2017,8
Castor,Madhya Pradesh,Narsinghpur,2010,2017,8
Castor,Madhya Pradesh,Panna,2010,2017,8
Castor,Madhya Pradesh,Raisen,2010,2017,8
Castor,Madhya Pradesh,Rajgarh,2010,2017,8
Castor,Madhya Pradesh,Ratlam,2010,2017,8
Castor,Madhya Pradesh,Rewa,2010,2016,7
Castor,Madhya Pradesh,Sagar,2010,2017,8
Castor,Madhya Pradesh,Satna,2010,2017,8
Castor,Madhya Pradesh,Sehore,2010,2017,8
Castor,Madhya Pradesh,Seoni / Shivani,2010,2017,8
Castor,Madhya Pradesh,Shahdol,2010,2017,8
Castor,Madhya Pradesh,Shajapur,2010,2017,8
Castor,Madhya Pradesh,Shivpuri,2010,2017,8
Castor,Madhya Pradesh,Sidhi,2010,2017,8
Castor,Madhya Pradesh,Tikamgarh,2010,2017,8
Castor,Madhya Pradesh,Ujjain,2010,2017,8
Castor,Madhya Pradesh,Vidisha,2010,2017,8
Castor,Maharashtra,Ahmednagar,2010,2017,8
Castor,Maharashtra,Akola,2010,2017,8
Castor,Maharashtra,Amarawati,2010,2017,8
Castor,Maharashtra,Aurangabad,2010,2017,8
Castor,Maharashtra,Beed,2010,2017,8
Castor,Maharashtra,Bhandara,2010,2017,8
Castor,Maharashtra,Bombay,2010,2016,4
Castor,Maharashtra,Buldhana,2010,2017,8
Castor,Maharashtra,Chandrapur,2010,2017,8
Castor,Maharashtra,Dhule,2010,2017,8
Castor,Maharashtra,Jalgaon,2010,2017,8
Castor,Maharashtra,Kolhapur,2010,2017,8
Castor,Maharashtra,Nagpur,2010,2017,8
Castor,Maharashtra,Nanded,2010,2017,8
Castor,Maharashtra,Nasik,2010,2017,8
Castor,Maharashtra,Osmanabad,2010,2017,8
Castor,Maharashtra,Parbhani,2010,2017,8
Castor,Maharashtra,Pune,2010,2017,8
Castor,Maharashtra,Raigad,2010,2017,8
Castor,Maharashtra,Ratnagiri,2010,2017,8
Castor,Maharashtra,Sangli,2010,2017,8
Castor,Maharashtra,Satara,2010,2017,8
Castor,Maharashtra,Solapur,2010,2017,8
Castor,Maharashtra,Thane,2010,2017,8
Castor,Maharashtra,Wardha,2010,2017,8
Castor,Maharashtra,Yeotmal,2010,2017,8
Castor,Orissa,Balasore,2010,2017,8
Castor,Orissa,Bolangir,2010,2017,8
Castor,Orissa,Cuttack,2010,2017,8
Castor,Orissa,Dhenkanal,2010,2017,8
Castor,Orissa,Ganjam,2010,2017,8
Castor,Orissa,Kalahandi,2010,2017,8
Castor,Orissa,Keonjhar,2010,2017,8
Castor,Orissa,Koraput,2010,2017,8
Castor,Orissa,Mayurbhanja,2010,2017,8
Castor,Orissa,Phulbani ( Kandhamal ),2010,2017,8
Castor,Orissa,Puri,2010,2017,8
Castor,Orissa,Sambalpur,2010,2017,8
Castor,Orissa,Sundargarh,2010,2017,8
Castor,Punjab,Amritsar,2010,2017,8
Castor,Punjab,Bhatinda,2010,2017,8
Castor,Punjab,Ferozpur,2010,2017,8
Castor,Punjab,Gurdaspur,2010,2017,8
Castor,Punjab,Hoshiarpur,2010,2017,8
Castor,Punjab,Jalandhar,2010,2017,8
Castor,Punjab,Kapurthala,2010,2017,8
Castor,Punjab,Ludhiana,2010,2017,8
Castor,Punjab,Patiala,2010,2017,8
Castor,Punjab,Roopnagar / Ropar,2010,2017,8
Castor,Punjab,Sangrur,2010,2016,7
Castor,Rajasthan,Ajmer,2010,2017,8
Castor,Rajasthan,Alwar,2010,2017,8
Castor,Rajasthan,Banswara,2010,2017,8
Castor,Rajasthan,Barmer,2010,2017,8
Castor,Rajasthan,Bharatpur,2010,2017,8
Castor,Rajasthan,Bhilwara,2010,2017,8
Castor,Rajasthan,Bikaner,2010,2017,8
Castor,Rajasthan,Bundi,2010,2017,8
Castor,Rajasthan,Chittorgarh,2010,2017,8
Castor,Rajasthan,Churu,2010,2017,8
