record_id,source,dataset_version,country,state_raw,state,district_raw,district,year,season_raw,season,crop_raw,crop,area_ha,production_tonnes,yield_kg_ha
ICR_1_2013_RAB_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Rabi,Rabi,RABI SORGHUM,Rabi Sorghum,0.0,0.0,0.0
ICR_1_2013_SOR_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,SORGHUM,Sorghum,270.0,170.0,636.36
ICR_1_2013_PEA_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,PEARL MILLET,Pearl Millet,80.0,70.0,909.09
ICR_1_2013_MAI_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,MAIZE,Maize,3640.0,6340.0,1742.2
ICR_1_2013_FIN_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,FINGER MILLET,Finger Millet,170.0,40.0,235.29
ICR_1_2013_BAR_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,BARLEY,Barley,220.0,120.0,545.45
ICR_1_2013_CHI_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,CHICKPEA,Chickpea,229990.0,173910.0,756.19
ICR_1_2013_PIG_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,PIGEONPEA,Pigeonpea,11370.0,5680.0,499.89
ICR_1_2013_MIN_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,MINOR PULSES,Minor Pulses,142900.0,56730.0,397.0
ICR_1_2013_GRO_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,GROUNDNUT,Groundnut,490.0,900.0,1817.44
ICR_1_2013_SES_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,SESAMUM,Sesamum,1440.0,370.0,258.89
ICR_1_2013_RAP_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,RAPESEED AND MUSTARD,Rapeseed and Mustard,3570.0,1680.0,469.08
ICR_1_2013_SAF_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,SAFFLOWER,Safflower,230.0,50.0,217.39
ICR_1_2013_CAS_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,CASTOR,Castor,0.0,0.0,0.0
ICR_1_2013_LIN_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,LINSEED,Linseed,9620.0,3380.0,351.35
ICR_1_2013_SUN_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,SUNFLOWER,Sunflower,240.0,110.0,458.33
