crop,model,train_period,test_period,train_records,test_records,mae,rmse,r2,mape,smape,valid_predictions,invalid_predictions,notes,status
Sugarcane,Naive Persistence (t-1),2010-2015,2016-2017,1457,467,1126.31,1741.99,0.5605,55.82,22.38,467,0,1-year historical district lag persistence,EVALUATED
Sugarcane,Historical District Mean,2010-2015,2016-2017,1457,467,1434.51,2090.65,0.367,61.76,27.44,467,0,District historical mean (2010-2015),EVALUATED
Sugarcane,Historical Crop Mean,2010-2015,2016-2017,1457,467,2026.79,2653.77,-0.02,178.44,36.78,467,0,National historical crop mean (2010-2015),EVALUATED
Sugarcane,Linear District Trend,2010-2015,2016-2017,1457,467,1363.13,2079.46,0.3737,66.73,25.75,467,0,Ordinary least squares district temporal trend,EVALUATED
Sunflower,Naive Persistence (t-1),2010-2015,2016-2017,774,276,287.57,373.8,0.3998,38.27,34.45,276,0,1-year historical district lag persistence,EVALUATED
Sunflower,Historical District Mean,2010-2015,2016-2017,774,276,264.92,373.31,0.4014,39.03,28.72,276,0,District historical mean (2010-2015),EVALUATED
Sunflower,Historical Crop Mean,2010-2015,2016-2017,774,276,389.63,482.56,-0.0002,77.44,39.87,276,0,National historical crop mean (2010-2015),EVALUATED
Sunflower,Linear District Trend,2010-2015,2016-2017,774,276,322.25,434.07,0.1907,40.01,36.99,276,0,Ordinary least squares district temporal trend,EVALUATED
Vegetables,All Baselines,2010-2015,2016-2017,0,0,,,,,,0,0,Insufficient train/test observations for out-of-time evaluation,INFEASIBLE
Wheat,Naive Persistence (t-1),2010-2015,2016-2017,1575,516,396.55,569.12,0.7556,21.26,19.1,516,0,1-year historical district lag persistence,EVALUATED
Wheat,Historical District Mean,2010-2015,2016-2017,1575,516,432.2,547.98,0.7734,19.39,18.24,516,0,District historical mean (2010-2015),EVALUATED
Wheat,Historical Crop Mean,2010-2015,2016-2017,1575,516,1016.09,1197.24,-0.0817,49.68,39.7,516,0,National historical crop mean (2010-2015),EVALUATED
Wheat,Linear District Trend,2010-2015,2016-2017,1575,516,653.17,827.33,0.4835,28.64,30.49,516,0,Ordinary least squares district temporal trend,EVALUATED
